Lattice3x20172.csv,
10,5,1,0,
0,3026,6052,9078,12104,15130,18156,21182,24208,27234,30260,33286,36312,39338,42364,45390,48416,51442,54468,57494,
60516,0,65,74,111,100,60,52,67,49,29,44,78,28,44407,0,0,0,0,0,
60516,0,33,117,88,36,46,23,78,53,29,60516,73,52,21,0,0,7,8,0,
60516,8,41,81,67,67,83,30,7,84,51524,48,38,59,22,23,7,0,0,0,
60516,23,0,102,106,102,16,41,82,60,23,16,48,66,60516,7,0,0,0,0,
60516,14,104,19,75,69,39,58,44,56,67,43,43,60516,37,0,7,0,0,0,
60516,8,71,110,93,48,77,40,68,17,1754,14,85,23,40003,7,14,0,0,0,
60516,0,8,65,144,67,98,44,37,104,4287,59413,70,39,60516,32360,0,60516,0,0,
60516,11,99,90,44,65,56,51,1960,59,39,82,28277,14,21,8,60516,0,0,0,
60516,0,55,30,11876,52,46,40,15,43,46,58,57812,52,14,8,8,0,0,0,
60516,13,75,75,60,45,62,61,31,14,45,54,69,23,60516,60516,22,0,0,0,
60516,0,39,76,51,82,21810,66,40,65,5261,67,23,45829,15,0,8,0,0,0,
60516,43,76,154,17001,76,85,67,84,40,81,60,44,22,25,15,0,0,0,0,
60516,89,29,86,139,75,71,849,107,12512,63,97,30801,45,29,11,60516,0,0,0,
60516,0,46,83,60,35,84,48,38263,54,1923,74,31140,30,48193,22,0,60516,0,0,
60516,0,142,55,30,102,115,38,38,65,37,42782,99,59,16,22,60516,0,0,0,
60516,128,75,38,92,42,98,64,5136,85,39,37,43,7,9754,15,0,0,0,0,
60516,0,55,67,106,70,51,28,36,63,5118,53,14135,56,0,0,15,0,0,0,
60516,0,79,68,3442,38,704,63,74,38,43358,65,37,14,44,24373,0,0,0,0,
60516,0,60516,76,59,64,79,53,71,31503,53,81,37,23,60516,29,8,0,0,0,
60516,20,131,80,113,76,73,15,50,60513,59,55,2543,38,8,8,0,0,0,0,
60516,0,92,71,77,87,40,46,114,50,99,9717,41,39,44,22,7,0,0,0,
60516,38,107,58,134,68,76,78,51,5101,94,16,79,35,53,22,0,0,0,0,
60516,29,77,69,173,57,41,60,48,80,72,104,46,16,37,22,7,0,0,0,
60516,84,22,50,31,31,41,78,53,59860,14416,38,48,25,32998,8,8,0,0,0,
60516,0,82,10948,87,60516,41,78,51,23,41,618,50,44,29,22,7,0,0,0,
60516,23,89,57,168,68,72,57,38,55,70,85,41,55,29,14,60516,0,0,0,
60516,0,101,115,72,84,84,53,45,85,60,47,45,24,33,8,0,0,0,0,
60516,8,128,131,152,42,75,76,39,77,59,53,26,22,15,0,0,0,0,0,
60516,0,81,108,130,53,40,57,60,70,82,3952,39,44,14,14,0,0,0,0,
60516,0,49,108,150,78,24,25,30,54,74,31,45,55,22,21,0,0,0,0,
60516,32,19,55,49,73,89,58,53,39,74,31,19,46,22,60516,0,0,0,0,
60516,57,137,132,113,45,51,7308,38,62,63,78,43,8,46335,15,22,0,0,0,
60516,0,72,115,67,119,104,42,96,66,72,33606,82,8,8,7,0,0,0,0,
60516,0,19,63,75,64,37,54,4291,53,52,18134,69,32,8900,8,0,0,0,0,
60516,20,137,72,107,73,24,7762,42,47,46,118,45,60516,29,8,0,0,0,0,
60516,37,135,11790,95,51,77,43,114,69,76,63,13459,66,15,0,0,0,0,0,
60516,53,56,93,124,72,82,503,37,41,58,62,45,23,15,60516,0,0,0,0,
60516,23,90,87,111,58,27,54985,40,113,35,78,54,14,8,0,0,7,0,0,
60516,23,53,111,108,103,34,51694,74,53,72,81,51,42399,31,0,0,0,0,0,
60516,41,74,94,137,61,60516,20123,51,71,99,60,22,29,23,7,0,0,0,0,
60516,49,26,93,84,100,48,19,30,108,60516,57,60516,57,15,54932,0,0,0,0,
60516,0,124,105,113,68,43,24,88,48088,46,30,58,59,52,7,0,8,0,0,
60516,8,67,104,119,111,63,15,79,40,81,47,87,33,14,0,0,0,0,0,
60516,50,19,91,34561,59,38,33,53,54,26,44,50,37,0,0,7,7,0,0,
60516,32,25,47,144,48,71,58,60516,35,27508,86,25,22,30,2505,0,0,0,0,
60516,61,75,128,98,34,52,43,49,37984,30,10811,60516,15,0,8,8,0,0,0,
60516,0,130,72,115,99,67,37,56,55,37255,45,38,60516,24,0,0,0,0,0,
60516,0,59,163,88,44,72,241,99,25,95,33255,78,16,15,23,7,0,0,0,
60516,11,41,131,134,35,108,37,78,54,47,7270,58,58,24,28,14,0,0,0,
60516,20,65,128,38,96,38,38,35,42,62,39,37,51,9405,16,37286,0,0,0,
60516,14,71,49,67,64,49,73,48,65,40,47,51,53,0,41977,7,0,0,0,
60516,35,118,114,62,55,56,31,75,76,57794,61,60516,15,60516,15,7,0,0,0,
60516,8,107,133,50,88,71,80,40,67,73,78,18,4594,23,8,45901,0,0,0,
60516,34,102,92,93,110,63,75,53,99,25693,63,29,29,6271,8,7,0,0,0,
60516,0,89,115,104,52,50,104,64,15,58,3186,81,46,22,7,0,0,0,0,
60516,8,29,88,63,3321,81,32,673,38711,58,36,59,18,3718,45145,0,0,0,0,
60516,68,0,112,65,57,61,49,15,39,66,36,52,29,32,8,0,0,0,0,
60516,11,1320,130,72,111,42,66,63,42583,76,71,85,55,3832,56455,0,0,0,0,
60516,0,22,75,113,95,119,27,84,44,59,32,46,38,22,33,0,7,0,0,
60516,31,14,192,73,107,59,113,58,1612,85,23467,59,36,23,60516,0,0,0,0,
60516,30,87,104,90,83,55,56,60,45,109,15189,53,21,34,7,8,0,0,0,
60516,64,54,90,42,116,35,65,63,39,49124,71,67,43761,26,25706,0,0,0,0,
60516,0,102,88,143,125,82,62,58,15,75,60516,30,14543,14,16,0,0,7,0,
60516,32,66,89,99,106,38134,26,65,63,52,95,30,31,8,14,7,0,0,0,
60516,26,8,66,98,38,45,8,32053,37,31,58,42,14,17518,14,0,0,0,0,
60516,0,139,89,52,45,72,36,41,64,43,25,67,8,8,56474,0,0,0,0,
60516,32,87,168,73,93,40,30,56,11322,59,5667,60516,18939,30,60516,0,0,0,0,
60516,103,95,63,106,97,25,26,114,40679,84,784,642,60516,16,7,0,0,0,0,
60516,0,80,108,154,94,77,15,64,39,30369,59,24406,53,8,0,0,0,0,0,
60516,48,57,92,86,104,19,29,71,46,72,74,30,30,33807,0,0,0,0,0,
60516,41,63,107,49,67,100,47,45,52,52,55,37,48,29,15,8,0,0,0,
60516,35,190,124,48,93,24,63,102,93,66,30,60516,15,60516,0,0,0,0,0,
60516,72,63,84,78,63,82,84,32,59,74,52,21,2241,7,60516,7,0,0,0,
60516,32,64,144,36412,66,91,45,70,58,84,56,52,37,15,15,0,0,0,0,
60516,144,36,84,42,60516,76,92,34,40,100,75,42212,30,36,0,0,0,0,0,
60516,0,181,163,54,65,98,63,57,78,140,60516,55,38,15,7,0,0,0,0,
60516,11,82,60,87,68,72,67,30,5742,12429,60516,53,59,30,8,7,0,0,0,
60516,0,79,83,106,61,54,56,87,68,83,14801,19574,37,60516,18,0,8,0,0,
60516,41,8,93,64,65,92,41,76,36,68,52,60516,14,22,7,0,0,0,0,
60516,29,88,61,39,36,55,62,24,45044,89,19345,70,60,21,7,0,0,0,0,
60516,0,55,81,139,37,72,57,33,60516,72,59,26,14,2861,0,60516,0,0,0,
60516,76,81,67,31,68,41,118,79,61,69,46,68,48,60516,23,8,0,0,0,
60516,17,73,78,114,108,5892,24,38,47,76,44,22815,30,15,14,0,0,0,0,
60516,81,8,110,120,48,73,26,74,23,112,29395,36,22,24,0,7,0,0,0,
60516,58,26,129,102,65,84,47,51736,5776,70,60,47,29,7,14,15,0,0,0,
60516,120,63,63,99,128,72,54,34,55903,69,54,87,14,21,8,0,0,0,0,
60516,22,28,71,98,84,62,43,25,29,4676,58,28,60516,60516,23,0,0,0,0,
60516,0,72,107,100,29,43,62,28,39,70,57,43,37,16,7,8,0,0,0,
60516,0,28,94,47,62,44,38,24,73,59,77,60516,36,37,21,7,0,0,0,
60516,25,31,65,108,86,41,8,40321,41848,1965,34475,49,22,14,25,8,0,0,0,
60516,0,110,134,95,73,38,37,88,60,60516,62,18041,11339,14,15,0,0,0,0,
60516,8,56,64,75,85,58,28058,57,63,66,22,29,28,15,60516,0,0,0,0,
60516,0,88,16,38,90,60,15,35,68,54,46,29,22,15,60516,0,8,0,0,
60516,37,64,55,119,42,36,50,34,63,44,92,30,45,28,0,0,0,0,0,
60516,8,33,71,126,94,36,49,5659,4210,3641,125,31,15,21,3596,0,0,0,0,
60516,0,43,84,61,129,44,59,49,114,60,32,48,22,29,8,0,0,0,0,
60516,55,79,50,78,65,68,29346,52,65,69,6087,59,8,21,0,42212,7,0,0,
60516,37,130,129,68,14337,96,48,66,54,1348,35029,119,46,7,15,7,0,0,0,
60516,0,100,70,62,40,31,8605,96,14871,67,50,56,42,0,7,0,0,0,0,
60516,0,80,90,112,68,67,77,45,69,84,48,59,6209,23,60516,8,7,0,0,
60516,24,40,71,91,25542,48,26,0,77,32,46,83,15,21,16,0,7,0,0,
60516,31,49,115,116,15,63,84,27,30,54,24,50,12152,8758,35365,7,0,0,0,
60516,0,68,120,71,40,78,7016,59,29,54,52,39,60516,22,14,0,8,0,0,
60516,0,81,59,119,79,78,85,42,20826,91,69,14,54,58,0,0,0,0,0,
60516,56,124,96,61,72,46,35,68,15,32,33,29,50,60516,0,7,0,0,0,
60516,11,235,109,95,93,40,57,53,45674,79,20780,271,47,30,0,0,0,0,0,
60516,14,92,61,19,70,75,42,66,74,84,56,58,14,60516,0,60516,0,0,0,
60516,8,44,95,93,53,33,62,95,53,12538,108,16788,60516,60516,0,0,0,0,0,
60516,0,103,127,122,76,71,42,60,35,60516,49,37,24,8,0,14,0,0,0,
60516,0,169,90,104,114,72,49,42,71,77,71,50,22,30,7,0,0,0,0,
60516,0,69,42,59,56,53,31,8015,95,111,31,45,60516,14,23,7,0,0,0,
60516,0,126,69,51,78,72,79,72,31,55,37,37,27754,17,8,0,0,0,0,
60516,0,0,97,29,65,109,42,50,63,24,46,33599,30,0,14,7,0,0,0,
60516,0,50,87,129,43,50,60516,38466,114,76,9722,60516,30,14,14,0,0,0,0,
60516,0,55,91,79,80,7893,5200,45,5147,67,2556,45,22,28017,14,36740,0,0,0,
60516,0,26,16,92,97,59,67,58,65,6502,76,44,22,21,15,0,0,0,0,
60516,19,72,62,142,59,68,73,14552,44,76,49,37552,22,38,7,0,8,0,0,
60516,0,117,95,86,68,54,37,33,44,14573,69,3891,75,51,16,7,0,0,0,
60516,26,68,157,68,124,65,43748,62,33135,67,66,7040,8455,21,7,0,0,0,0,
60516,73,127,97,92,80,51,23,66,39,53,24655,26,38,7,60516,0,0,0,0,
60516,57,48,78,78,60513,32,23,91,83,57087,69,56,60516,24,8,0,0,0,0,
60516,8,33,102,115,105,61,41,33,73,101,1039,11035,65,16,16,0,0,0,0,
60516,45,57,118,75,71,934,35,47,96,70,57,16941,22,7,51015,0,0,0,0,
60516,0,100,147,35,62,16693,50,43,65,18090,90,97,15,15,15,0,0,0,0,
60516,14,56,128,78,78,60,3656,63,70,66,60,44,21,47,7,0,0,0,0,
60516,23,31,77,69,108,53,46,65,44,69,66,15,7,16,0,7,0,0,0,
60516,0,19,88,158,48,49,57,37,86,68,3078,33434,0,0,14,0,0,0,0,
60516,28,73,57,93,55,41,50,57,74,88,62,31,24,39,14,0,0,0,0,
60516,40,34,64,137,40,23,10149,46,71,74,44,44,38,58502,0,0,8,0,0,
60516,14,120,87,117,66,64,77,58,25453,67,51799,56462,22,23,60516,60516,0,0,0,
60516,0,19,128,178,87,60,34,16,86,32308,77,76,30,47152,7,0,0,0,0,
60516,0,27,87,96,41,68,19,44,15,68,94,1889,1496,34468,14,8,0,7,0,
60516,0,59,124,102,72,67,26,32,89,84,24036,43,15,23,7,0,0,0,0,
60516,37,110,157,132,83,62,51,39,67,30,58,67,49,29,16,0,0,0,0,
60516,89,54,73,64,48,67,33,18816,119,43,53,34,37,13823,0,8,0,0,0,
60516,20,71,186,120,68,71,63,68,5254,46,22139,30,45,7,28,7,0,60516,0,
60516,0,32,96,71,112,104,75,3045,30,66,27,52,11396,11220,7,8,0,0,0,
60516,8,42,40,85,66,78,50,67,24247,56,22,74,8,21,16,0,0,0,0,
60516,0,58,72,80,115,37,52,43,60,85,92,75,56,26069,19,7,0,0,0,
60516,35,70,73,54,82,84,42,38,70,69,33693,49,63,60516,32,0,8,0,0,
60516,0,88,107,88,96,67,54,66,65,68,36,67,22,15,8,7,7,0,0,
60516,0,152,72,107,41,66,74,78,85,58,60152,53,54,21,0,0,0,0,0,
60516,20,148,160,59,85,62,81,60516,39,73,1235,70,40,60516,8,60516,0,0,0,
60516,35,54,71,97,104,893,57,66,35,5720,48,23,15101,8,40988,0,0,0,0,
60516,52,28,114,107,45,56,75,59,78,101,60504,47,60,30,60516,8,60516,0,0,
60516,55,0,61,86,77,39,39,85,58,54,76,47,23,9486,0,60516,0,0,0,
60516,94,100,63,116,45,65,51,71,39,46,89,44,5019,0,16,8,0,0,0,
60516,0,86,54,88,68,99,45,50,32,104,52,47900,55,410,14,8,0,0,0,
60516,0,63,47,122,39,18,55408,32,44,76,14713,69,22,21,60516,0,60516,0,0,
60516,19,81,84,76,97,91,38,13169,71,51,9914,60,2387,30,15,0,0,0,0,
60516,0,62,129,84,72,34,60,86,61,77,18097,36,13535,24,7,7,0,0,0,
60516,19,174,93,101,128,49,60,16,68,1926,41,11443,22,60516,0,0,0,0,0,
60516,0,25,59,94,86,41,57,35,65,107,68,22,60516,31,0,0,0,0,0,
60516,14,8,65,63,74,51,46,37,52,50,79,60516,27,8,60516,0,0,0,0,
60516,22,38,128,77,150,22,34,720,58,57,60,67,36,39,60516,0,0,0,0,
60516,24,54,74,114,45,39,43,2169,104,3771,66,25939,18364,15,7,0,0,0,0,
60516,8,27,150,86,82,15,110,74,76,76,71,41,21,29,17,0,0,0,0,
60516,63,32,84,122,32,87,29,81,69,61,87,50309,30,38077,7,8,0,0,0,
60516,23,84,44,143,40,60,42,25,56,11572,53,63,37,7,60504,0,0,0,0,
60516,0,111,105,90,42,66,71,2199,41,40,5219,59,69,23723,16,0,0,0,0,
60516,26,22,115,129,63,39,21,48,89,52,7945,81,30,6683,29,0,0,0,0,
60516,20,93,101,134,60516,11312,27,1086,53,35,56,37,46,26,7,0,0,0,0,
60516,109,94,107,105,40,38,47,31,102,124,45217,32,36,43,7,7,0,0,0,
60516,0,135,41,85,53,1134,88,76,48,76,44,21261,23,15,43604,0,0,0,0,
60516,27,31,130,120,67,27,58,88,1705,64,16679,27424,60516,1972,0,0,8,0,0,
60516,0,53,99,56,74,54,15,34,40,69,59,14,46,14,21,0,8,0,0,
60516,0,22,87,78,108,61,22,46,48,70,109,64,21,37,23,0,0,0,0,
60516,0,73,85,9929,96,61,15,67,77,59,7229,158,25317,15,7,7,0,0,0,
60516,0,134,41,102,79,74,51,43,60516,14127,17720,38,29,43468,27,0,0,0,0,
60516,49,111,116,83,86,23,55,47,52336,49160,56,53,29,8,0,0,0,0,0,
60516,32,59,108,97,118,31,57,51,35,76,64,54,59,36,0,19,0,0,0,
60516,0,34,92,21,66,23,68,89,45,79,57,44,15742,29,0,0,0,0,0,
60516,0,103,173,42,68,102,34,55,52,83,60,22,22177,15,21,0,7,0,0,
60516,47,63,74,93,76,31,55,72,93,30,37,43,49,15,0,0,60516,0,0,
60516,0,54,134,54,81,74,31,50,65,54,45,5807,22,14,24,0,0,0,0,
60516,80,72,72,59,53,39,63,5843,51,784,63,48193,60516,46077,29,0,0,0,0,
60516,0,65,69,106,27,42,42,55,47,8711,77,15053,23,2388,0,8,0,0,0,
60516,0,42,118,153,44,36,58,37,57,70,2904,29,21,60513,0,8,0,0,0,
60516,0,92,85,95,86,17,53,81,15,763,52,1225,57872,7,15,14,0,0,0,
60516,27,77,14665,72,81,29,29,46,8,31,50343,29,30,14,8,60516,0,0,0,
60516,135,65,81,38,40,37,60507,54,25562,31,63,38,36,29,14,0,0,0,0,
60516,0,30,108,121,156,66,22,77,57,105,44,66,10091,16,22,0,0,0,0,
60516,58,8,151,7600,54,46,74,80,79,56,75,30,29,10692,60516,0,0,0,0,
60516,0,50,93,108,48,43,24,70,85,70,60516,90,59,60516,15,7,0,0,0,
60516,8,80,118,86,64,75,88,46,102,25910,9360,15594,46,7,22,0,0,0,0,
60516,20,48,101,68,25,74,102,45,59,23101,68,59845,22,38,23,0,0,0,0,
60516,23,11,38,89,46,113,36,86,59,52,39,7,36,37,28,0,8,0,0,
60516,67,121,36,116,79,35,8,52743,31,36,46317,5886,50,24,22,0,0,0,0,
60516,30,29,43,42,54,65,32,57,74,31,17727,62,46,22,7,0,0,0,0,
60516,35,42,136,48,54,41,53,39,39,62,29,65,15,29,0,60516,0,0,0,
60516,0,46,95,89,59,94,43,43,48,51,53,46,69,36,15,0,0,0,0,
60516,0,42,100,66,55,66,23,48,30,39,108,48,523,8780,7,0,0,0,0,
60516,23,41,138,125,56,67,45,17,73,62,82,45,15,60516,0,0,0,0,0,
60516,16,66,63,38,60,70,82,48,72,52,67,47206,47,27,29,0,0,0,0,
60516,0,82,118,66,43,39,54,69,1985,76,37,31,15,14,7,0,0,0,0,
60516,35,102,64,65,44,32,48,43,70,72,64,25,28,23,7,0,0,0,0,
60516,14,40,43,99,66,50,54,5871,15,55,77,70,59126,30,60516,0,0,0,0,
60516,64,22,59,71,83,37,41,47,69,7765,64,56,60516,46,7,0,60516,0,0,
60516,72,71,84,57,69,79,41,51,37,38,59,3156,53,14,15,0,0,0,0,
60516,32,27,29,72,85,53,46,32,6105,1078,38,47683,20555,15,22,0,0,0,0,
60516,46,62,88,76,68,93,75,52,40,23682,7843,7,60516,60516,0,7,0,0,0,
60516,32,49,100,62,67,67,60,54,39,85,5316,48,1297,36991,60516,0,60516,0,0,
60516,0,8,180,5966,35,54,23437,59,105,96,37,23,6572,8554,8,7,0,0,0,
60516,11,196,44,51,75,3161,60516,42,37,82,44,37,45,0,21700,0,0,0,0,
